"mgc.DM.result","mcorr.DM.result","hhg.DM.result","mgc.AM.result","mcorr.AM.result","hhg.AM.result","mgc.LF.result","mcorr.LF.result","hhg.LF.result","fh.result"
0.0820000000000001,0.0572228333185258,0.0623781676413255,0.042,0.0139720558882236,0.029940119760479,0.656,0.639962719066063,0.265107212475634,0.680215887320562
0.16,0.205208255919867,0.0545808966861598,0.766000000000001,0.419161676646707,0.107784431137725,0.29,0.296137833545875,0.793372319688109,0.304627395375293
0.002,0.00182761209029447,0.00779727095516569,0.012,0.0119760479041916,0.00598802395209581,0.788000000000001,0.775671789370778,0.46588693957115,0.837771763048861
0.002,0.0516098084545531,0.0253411306042885,0.056,0.0558882235528942,0.0399201596806387,0.032,0.0321037984211237,0.00194931773879142,0.313746515814276
0.176,0.26943624914704,0.12280701754386,0.324,0.37125748502994,0.205588822355289,0.714000000000001,0.724763322721218,0.984405458089669,0.714276704455712
0.256,0.421782698682014,0.247563352826511,0.684,0.49500998003992,0.181636726546906,0.566,0.571108227608635,0.692007797270955,0.494986249718322
0.148,0.191376151786183,0.0682261208576998,0.232,0.13373253493014,0.0738522954091816,0.822000000000001,0.824470041784203,0.46588693957115,0.882812624417887
0.022,0.185829247143393,0.0935672514619883,0.046,0.0778443113772455,0.187624750499002,0.926000000000001,0.939913721064078,0.0701754385964912,0.971242404533083
0.308,0.41569886456757,0.192982456140351,0.126,0.0918163672654691,0.121756487025948,0.494,0.481672401288995,0.187134502923977,0.780805291046187
0.042,0.0626305210383953,0.134502923976608,0.004,0.0279441117764471,0.103792415169661,0.136,0.112742312247972,0.0253411306042885,0.0442254220407804
0.574,0.646162255240774,0.432748538011696,0.632,0.560878243512974,0.261477045908184,0.514,0.48964700277435,0.752436647173489,0.464395372263742
0.016,0.0197868485600957,0.037037037037037,0.01,0.0159680638722555,0.0119760479041916,0.008,0.368238962629845,0.0175438596491228,0.837385308700467
0.002,0.0117778514199312,0.00584795321637427,0.024,0.0219560878243513,0.0139720558882236,0.31,0.294982891102781,0.606237816764133,0.395923719707956
0.228,0.293501941323904,0.231968810916179,0.22,0.187624750499002,0.103792415169661,0.224,0.22237987435509,0.142300194931774,0.193994746435559
0.164,0.211364047951113,0.233918128654971,0.136,0.147704590818363,0.119760479041916,0.922000000000001,0.924854218055698,0.304093567251462,0.929846490074202
0.05,0.0883314642406309,0.0487329434697856,0.052,0.0439121756487026,0.0459081836327345,0.0900000000000001,0.102121524297249,0.559454191033138,0.218311381325922
0.462,0.584075914111988,0.337231968810916,0.552,0.469061876247505,0.570858283433134,0.878000000000001,0.854435127757918,0.549707602339181,0.94734838253685
0.476,0.602191276490432,0.428849902534113,0.742000000000001,0.696606786427146,0.67065868263473,0.002,0.00171498814510884,0.670565302144249,0.0424096908626811
0.452,0.582327895024477,0.304093567251462,0.784000000000001,0.598802395209581,0.730538922155689,0.808000000000001,0.800495401090474,0.298245614035088,0.696164570300903
0.012,0.134287417291756,0.0487329434697856,0.112,0.0998003992015968,0.193612774451098,0.838000000000001,0.826195328344423,0.682261208576998,0.604998166846515
0.002,4.54887405532123e-06,0.00389863547758285,0.002,0.00598802395209581,0.00798403193612774,0.374,0.375418445343012,0.879142300194932,0.517738440829829
0.004,1.05659158182725e-05,0.00584795321637427,0.002,0.00798403193612774,0.00199600798403194,0.958000000000001,0.95125020700591,0.286549707602339,0.981246314902859
0.002,0.0642035052399255,0.0194931773879142,0.292,0.0738522954091816,0.0179640718562874,0.058,0.0504340566275374,0.155945419103314,0.247086282864311
0.008,0.0135938163989215,0.0116959064327485,0.02,0.029940119760479,0.0279441117764471,0.518,0.502307510852781,0.185185185185185,0.723108155222812
0.314,0.476823982959948,0.284600389863548,0.1,0.0818363273453094,0.0758483033932136,0.602,0.597157370951282,0.512670565302144,0.383848206018237
0.04,0.058169002038979,0.0233918128654971,0.318,0.105788423153693,0.0818363273453094,0.062,0.0755283118169308,0.83625730994152,0.0838633054149581
0.002,0.00452120447658766,0.00194931773879142,0.022,0.0139720558882236,0.0179640718562874,0.476,0.476547916728815,0.867446393762183,0.480625820984731
0.028,0.105343960296489,0.167641325536062,0.236,0.115768463073852,0.0758483033932136,0.0820000000000001,0.0842596314914177,0.233918128654971,0.0474801312095698
0.398,0.511729524192675,0.467836257309941,0.344,0.303393213572854,0.267465069860279,0.37,0.358513430257139,0.699805068226121,0.375998900561199
0.002,0.000280942097235615,0.00779727095516569,0.002,0.0119760479041916,0.00399201596806387,0.686,0.697919894451643,0.522417153996101,0.567993790848367
0.236,0.302365336278505,0.142300194931774,0.0800000000000001,0.0578842315369262,0.0698602794411178,0.934000000000001,0.931302449228053,0.590643274853801,0.735445219808415
0.218,0.311013875949444,0.181286549707602,0.214,0.157684630738523,0.275449101796407,0.008,0.566371777533391,0.0974658869395711,0.801164506751108
0.006,0.00569748729218567,0.01364522417154,0.05,0.0419161676646707,0.063872255489022,0.28,0.301827952658506,0.518518518518518,0.216292920461158
0.612,0.65759913064903,0.52046783625731,0.868000000000001,0.920159680638723,0.808383233532934,0.774000000000001,0.763704364162024,0.52046783625731,0.646761221516822
0.966000000000001,0.836926479244649,0.966861598440546,0.692000000000001,0.772455089820359,0.67065868263473,0.870000000000001,0.877419392410645,0.128654970760234,0.786710852607566
0.002,0.0117043103972982,0.00389863547758285,0.022,0.0199600798403194,0.00798403193612774,0.026,0.289924051190983,0.0253411306042885,0.593763970475476
0.118,0.152972222689802,0.064327485380117,0.334,0.151696606786427,0.0878243512974052,0.700000000000001,0.686516415207833,0.98635477582846,0.436121914102891
0.004,0.000211695864100969,0.00389863547758285,0.0840000000000001,0.0179640718562874,0.0379241516966068,0.356,0.335723329286053,0.189083820662768,0.208479391977911
0.004,0.00401278240362424,0.0175438596491228,0.002,0.00598802395209581,0.0199600798403194,0.244,0.22981318340579,0.220272904483431,0.259217072643376
0.002,1.0185351705827e-05,0.00194931773879142,0.05,0.00199600798403194,0.00199600798403194,0.004,0.0163918079138443,0.604288499025341,0.2137171870124
0.012,0.0298060148119056,0.0428849902534113,0.1,0.0399201596806387,0.0219560878243513,0.07,0.0838461117917139,0.499025341130604,0.0725541349527617
0.002,0.00123358040011956,0.00779727095516569,0.004,0.0119760479041916,0.00798403193612774,0.264,0.244604964980792,0.653021442495127,0.0855828484528894
0.462,0.595934952427621,0.497076023391813,0.246,0.239520958083832,0.347305389221557,0.852000000000001,0.845466554586274,0.337231968810916,0.751268351243558
0.038,0.0329028786209051,0.0740740740740741,0.032,0.0239520958083832,0.031936127744511,0.182,0.19561255522968,0.354775828460039,0.332284770606976
0.002,0.0356202528652034,0.0116959064327485,0.432,0.277445109780439,0.093812375249501,0.186,0.190712824880592,0.871345029239766,0.141690858736714
0.276,0.378308096566769,0.42495126705653,0.354,0.395209580838323,0.540918163672655,0.006,0.103476428539263,0.536062378167641,0.147593718000197
0.844000000000001,0.807502529219212,0.961013645224172,0.256,0.345309381237525,0.405189620758483,0.720000000000001,0.726960365553145,0.701754385964912,0.771745319351139
0.002,0.00211143443503392,0.0233918128654971,0.004,0.00998003992015968,0.0279441117764471,0.354,0.338696835170742,0.990253411306043,0.490466623918676
0.02,0.0478507354025799,0.00974658869395711,0.018,0.0359281437125748,0.0219560878243513,0.462,0.456638630772249,0.621832358674464,0.690309642834884
0.016,1.55527506918718e-05,0.0214424951267057,0.036,0.0279441117764471,0.06187624750499,0.548,0.536985953776073,0.325536062378168,0.332726351754973
0.188,0.281202782817342,0.0916179337231969,0.156,0.153692614770459,0.201596806387226,0.498,0.521188911115868,0.319688109161793,0.280625353851209
0.324,0.501886100607728,0.200779727095517,0.416,0.538922155688623,0.67065868263473,0.930000000000001,0.940425208372491,0.748538011695906,0.918250749583749
0.012,0.132441760192025,0.050682261208577,0.18,0.0958083832335329,0.0339321357285429,0.702000000000001,0.667308770305145,0.730994152046784,0.639942909760908
0.01,0.00410068441205602,0.0155945419103314,0.0740000000000001,0.0219560878243513,0.0439121756487026,0.212,0.235365787496016,0.573099415204678,0.0805348902295693
0.122,0.091943406260049,0.152046783625731,0.104,0.093812375249501,0.0379241516966068,0.714000000000001,0.715797540597834,0.226120857699805,0.780845139694405
0.018,0.0584309071493666,0.0409356725146199,0.028,0.0858283433133733,0.0179640718562874,0.042,0.0204506835261306,0.00584795321637427,0.00740367771893752
0.146,0.157658023834129,0.0584795321637427,0.138,0.227544910179641,0.457085828343313,0.954000000000001,0.966467823596217,0.212475633528265,0.958983981150496
0.002,0.0042448675860991,0.0292397660818713,0.008,0.0219560878243513,0.0199600798403194,0.324,0.31189047620997,0.142300194931774,0.200114731693899
0.218,0.364307294897505,0.539961013645224,0.176,0.153692614770459,0.179640718562874,0.51,0.497742279511062,0.518518518518518,0.758494585395045
0.046,0.0519700535294432,0.0662768031189084,0.0980000000000001,0.0698602794411178,0.06187624750499,0.066,0.0609356342681882,0.167641325536062,0.131933041323153
0.002,0.00195288897719892,0.00389863547758285,0.024,0.00998003992015968,0.00998003992015968,0.038,0.00709288352641124,0.142300194931774,0.199742190526718
0.018,0.0424260764835939,0.0935672514619883,0.514,0.189620758483034,0.0998003992015968,0.18,0.175211335236748,0.766081871345029,0.16052995786155
0.626,0.695058852147185,0.871345029239766,0.780000000000001,0.654690618762475,0.534930139720559,0.026,0.0166865201645824,0.695906432748538,0.0737839633670618
0.004,0.00178416021714556,0.0175438596491228,0.008,0.0179640718562874,0.0279441117764471,0.208,0.185522976214485,0.906432748538012,0.185380450582101
0.014,0.190423627327731,0.0779727095516569,0.24,0.159680638722555,0.0678642714570858,0.32,0.31210771827605,0.676413255360624,0.13768976353023
0.002,6.21724893790088e-15,0.00194931773879142,0.002,0.00199600798403194,0.00199600798403194,0.024,0.00598387870569395,0.39766081871345,0.0383597083451991
0.012,0.0202037855291222,0.01364522417154,0.018,0.029940119760479,0.0518962075848303,0.434,0.404233838439387,0.937621832358674,0.23190877926238
0.02,0.014142195813172,0.0350877192982456,0.01,0.00998003992015968,0.00798403193612774,0.468,0.49130624896713,0.859649122807018,0.276257937087984
0.578,0.656456402936835,0.442495126705653,0.968000000000001,0.968063872255489,0.894211576846307,0.274,0.31320458538505,0.816764132553606,0.223979911364108
0.016,0.0222670282229847,0.0311890838206628,0.028,0.0119760479041916,0.0219560878243513,0.12,0.105549395032895,0.0253411306042885,0.51986721871822
0.004,0.0590455213237335,0.0331384015594542,0.484,0.17564870259481,0.06187624750499,0.896000000000001,0.897263778015079,0.309941520467836,0.801513796627435
0.066,0.0455277748836451,0.0428849902534113,0.064,0.0778443113772455,0.0958083832335329,0.37,0.366911385292818,0.360623781676413,0.356182738656707
0.536,0.629335850228743,0.693957115009747,0.364,0.431137724550898,0.477045908183633,0.418,0.375447748496166,0.483430799220273,0.162100857781339
0.012,0.0367422661010131,0.0116959064327485,0.222,0.143712574850299,0.0279441117764471,0.896000000000001,0.897070956132726,0.475633528265107,0.943510388472806
0.002,0.00247351233851045,0.00389863547758285,0.008,0.0219560878243513,0.0239520958083832,0.946000000000001,0.925693008996422,0.0916179337231969,0.918702384906076
0.378,0.486307544285206,0.469785575048733,0.146,0.19560878243513,0.111776447105788,0.856000000000001,0.871828120400318,0.200779727095517,0.9812387331006
0.002,7.00040025947146e-12,0.00194931773879142,0.002,0.00199600798403194,0.00199600798403194,0.338,0.337006831790908,0.146198830409357,0.748710328256802
0.206,0.267679185274872,0.189083820662768,0.0760000000000001,0.0499001996007984,0.0499001996007984,0.362,0.32935024079971,0.0760233918128655,0.363772776288513
0.022,0.190594318332303,0.0448343079922027,0.196,0.0878243512974052,0.0698602794411178,0.502,0.47102293126406,0.0916179337231969,0.643846089145477
